latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.91115,133.40683,313.26,1.12,1.05,2025-05-17,0033,T,69,6.1NRT,296.2,8.2,D
-12.56487,130.63937,308.49,1.02,1.01,2025-05-17,0033,T,58,6.1NRT,291.4,4.77,D
-12.95014,132.76059,316.07,1.06,1.03,2025-05-17,0033,T,72,6.1NRT,299.45,9.55,D
-13.07397,132.52425,309.56,1.04,1.02,2025-05-17,0033,T,61,6.1NRT,296.33,5.47,D
-13.23253,132.60512,327.32,1.05,1.02,2025-05-17,0033,T,83,6.1NRT,286.93,24.7,D
-13.06614,130.66425,310.73,1.01,1.01,2025-05-17,0033,T,63,6.1NRT,296.02,5.62,D
-13.0352,130.20114,328.43,1.03,1.02,2025-05-17,0033,T,84,6.1NRT,290.03,24.96,D
-13.03659,130.21045,317.82,1.03,1.02,2025-05-17,0033,T,72,6.1NRT,291.23,12.91,D
-13.04557,130.20911,312.8,1.03,1.02,2025-05-17,0033,T,66,6.1NRT,290.77,8.99,D
-13.74594,132.8549,308.09,1.08,1.04,2025-05-17,0033,T,54,6.1NRT,296.11,4.75,D
-13.5469,131.23759,313.71,1,1,2025-05-17,0033,T,69,6.1NRT,293.26,9.65,D
-13.5482,131.24664,306.73,1,1,2025-05-17,0033,T,52,6.1NRT,293.72,4.6,D
-13.85301,133.4595,306.58,1.15,1.07,2025-05-17,0033,T,49,6.1NRT,294,4.6,D
-13.65781,131.95534,335.46,1.02,1.01,2025-05-17,0033,T,88,6.1NRT,300.37,31.79,D
-13.66673,131.95406,313.04,1.02,1.01,2025-05-17,0033,T,45,6.1NRT,299.97,6.03,D
-13.67696,131.96199,312.41,1.02,1.01,2025-05-17,0033,T,48,6.1NRT,299.88,5.49,D
-13.90239,133.61351,309.69,1.17,1.08,2025-05-17,0033,T,61,6.1NRT,296.66,7.72,D
-13.81043,132.85941,309.26,1.08,1.04,2025-05-17,0033,T,43,6.1NRT,296,4.64,D
-13.83323,133.02684,315.08,1.1,1.05,2025-05-17,0033,T,68,6.1NRT,296.01,9.36,D
-13.83304,132.95622,309.33,1.09,1.04,2025-05-17,0033,T,58,6.1NRT,295.89,5.52,D
-13.84793,133.06552,314.87,1.1,1.05,2025-05-17,0033,T,70,6.1NRT,296.82,9.94,D
-13.71119,131.88199,313.74,1.01,1.01,2025-05-17,0033,T,68,6.1NRT,298.58,6.59,D
-13.85666,132.92287,309.67,1.09,1.04,2025-05-17,0033,T,59,6.1NRT,296.18,5.69,D
-13.87987,133.09157,312.03,1.11,1.05,2025-05-17,0033,T,65,6.1NRT,296.25,7.87,D
-13.47709,130.13179,315.29,1.03,1.01,2025-05-17,0033,T,55,6.1NRT,296.68,10.04,D
-13.91392,133.22499,311,1.12,1.06,2025-05-17,0033,T,63,6.1NRT,297.12,6.87,D
-13.69444,131.56151,313.07,1,1,2025-05-17,0033,T,61,6.1NRT,297.5,7.25,D
-13.89901,133.04237,309.45,1.1,1.05,2025-05-17,0033,T,49,6.1NRT,296.17,5.26,D
